영화코드,영화명,해당일관객수,해당일
20184105,말모이,324326,20190113
20176251,내안의 그놈,229792,20190113
20189463,주먹왕 랄프 2: 인터넷 속으로,121812,20190113
20183915,극장판 공룡메카드: 타이니소어의 섬,89474,20190113
20180290,아쿠아맨,65828,20190113
20185485,보헤미안 랩소디,30032,20190113
20184574,그린 북,25460,20190113
20186281,범블비,6664,20190113
20170658,PMC: 더 벙커,4834,20190113
20183785,점박이 한반도의 공룡2 : 새로운 낙원,3671,20190113
20184187,언니,20229,20190106
20175547,스윙키즈,19210,20190106
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,7849,20190106
20168773,마약왕,32974,20181230
20182421,그린치,31703,20181230
20183238,스파이더맨: 뉴 유니버스,13024,20181230
20183375,극장판 포켓몬스터 모두의 이야기,34907,20181223
20177552,국가부도의 날,12412,20181223
20189843,호두까기 인형과 4개의 왕국,11576,20181223
20179230,도어락,109723,20181216
20183745,런닝맨 : 풀룰루의 역습,22428,20181216
20182082,부탁 하나만 들어줘,16789,20181216
20183685,엘리엇과 산타 썰매단,14179,20181216
20177538,완벽한 타인,8084,20181216
20178825,모털 엔진,47572,20181209
20183650,번개맨의 비밀,14883,20181209
20184481,성난황소,13387,20181209
20183288,헌터 킬러,9203,20181209
20181905,후드,46476,20181202
20176814,신비한 동물들과 그린델왈드의 범죄,31454,20181202
20182966,투 프렌즈,8120,20181202
20183073,베일리 어게인,6170,20181202
20181171,바울,6125,20181202
20183007,거미줄에 걸린 소녀,4825,20181202
20183050,번 더 스테이지: 더 무비,11645,20181125
20183043,캡틴 샤키,4471,20181125
20184514,꼬마비행기 피티와 친구들:사막구출 대작전,3948,20181125
20182935,출국,3168,20181125
20186822,너의 췌장을 먹고 싶어,7903,20181118
20170513,동네사람들,6971,20181118
20183009,로빈슨의 언더워터 어드벤처,5442,20181118
20179006,여곡성,14664,20181111
20010291,해리포터와 마법사의 돌,13789,20181111
20183063,박물관이 진짜 살아있다,9318,20181111
20181404,벽 속에 숨은 마법시계,8628,20181111
20182693,구스범스: 몬스터의 역습,7960,20181111
20174981,창궐,7390,20181111
